sex,height,weight,exp,max_boulder,max_sport,days,maxhang,pullup,weightedpull,max_boulder_numeric,max_sport_numeric,strength_to_weight_pullup,strength_to_weight_weightpull,strength_to_weight_maxhang,pushup,bmi_score,max_sport_french,ohll,trainexp,longcamp,ohpr,age,dl,shortcamp,span,continuous,season,repeaters1
2,168.0,62.0,12,V8,8a,12,0.0,0,20.0,7.0,17.0,0.0,1.3225806451612903,1.0,,,,,,,,,,,,,,
1,173.0,67.0,1,V5,7a+,12,0.0,8,0.0,4.0,12.0,0.11940298507462686,1.0,1.0,,,,,,,,,,,,,,
2,159.0,54.0,15,V9,0,12,17.0,8,0.0,8.0,0.0,0.14814814814814814,1.0,1.3148148148148149,,,,,,,,,,,,,,
1,179.0,78.0,0,V3,6c,12,0.0,0,0.0,2.0,9.0,0.0,1.0,1.0,,,,,,,,,,,,,,
2,150.0,49.0,1,V3,0,8,0.0,0,0.0,2.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
1,175.0,65.0,7,V5,7a+,4,0.0,25,25.0,4.0,12.0,0.38461538461538464,1.3846153846153846,1.0,,,,,,,,,,,,,,
1,172.0,72.0,1,V7,0,12,30.0,19,33.0,6.0,0.0,0.2638888888888889,1.4583333333333333,1.4166666666666667,,,,,,,,,,,,,,
1,183.0,75.0,2,V4,7a+,12,10.0,15,25.0,3.0,12.0,0.2,1.3333333333333333,1.1333333333333333,,,,,,,,,,,,,,
1,183.0,77.0,1,V8,0,12,0.0,0,0.0,7.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
1,174.0,64.0,12,V8,7b+,12,25.0,14,18.0,7.0,14.0,0.21875,1.28125,1.390625,,,,,,,,,,,,,,
2,168.0,62.0,0,V2,0,4,0.0,0,0.0,,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,
1,180.0,60.0,0,V6,0,8,0.0,4,0.0,5.0,0.0,0.06666666666666667,1.0,1.0,,,,,,,,,,,,,,
1,169.0,58.0,1,V7,0,8,0.0,16,11.0,6.0,0.0,0.27586206896551724,1.1896551724137931,1.0,,,,,,,,,,,,,,
1,168.0,62.0,2,V4,6b,8,0.0,6,0.0,3.0,7.0,0.0967741935483871,1.0,1.0,,,,,,,,,,,,,,
1,181.0,80.0,1,V6,0,8,0.0,18,35.0,5.0,0.0,0.225,1.4375,1.0,,,,,,,,,,,,,,
