,age,sex,max_boulder_numeric,max_sport_numeric,exp,trainexp,season,days,height,weight,span,pullup,pushup,continuous,maxhang,weightedpull,repeaters1,longcamp,ohpr,ohll,dl,shortcamp,bmi_score,strength_to_weight_pullup,strength_to_weight_weightpull,strength_to_weight_maxhang,age_group
189,36.0,1.0,1.0,5.0,8.0,1.0,2.0,1.6666666666666667,170.18,66.67807839000001,175.26,20.0,40.0,34.0,15.875732950000002,22.6796185,90.0,126.0,19.595190384000002,19.595190384000002,107.410673216,192.6,23.0,0.299948656033847,1.3401360544217686,1.2380952380952381,30-39
190,37.0,1.0,6.0,13.0,6.0,3.0,2.0,4.166666666666667,175.26,75.74992579,176.53,15.0,41.0,22.0,27.2155422,24.947580350000003,105.0,140.2,21.31884139,20.41165665,117.9340162,197.0,24.7,0.19801999597444092,1.3293413173652693,1.3592814371257484,30-39
191,49.0,1.0,3.0,11.0,8.0,4.0,4.0,8.333333333333334,167.64000000000001,69.85322498000001,171.45,15.0,31.0,37.0,11.33980925,29.48350405,74.0,89.6,19.413753436,19.413753436,103.328341886,114.0,22.5,0.21473596966059502,1.422077922077922,1.1623376623376624,40-49
192,27.0,2.0,4.0,9.0,3.0,2.0,4.0,4.166666666666667,167.64000000000001,60.32778521,170.18,28.0,14.0,42.2,25.85476509,25.673328142000003,148.8,82.2,16.601480742,16.601480742,102.05828325,154.4,21.340000000000003,0.4641310782839528,1.4316380320380175,1.4285714285714286,20-29
193,33.0,1.0,3.0,7.0,6.0,1.0,3.0,1.6666666666666667,175.895,66.22448602,177.8,18.0,63.0,34.0,15.875732950000002,34.01942775,170.0,128.4,23.042492396000004,23.042492396000004,106.59420695000001,183.4,21.4,0.27180278899505456,1.5136986301369864,1.2397260273972603,30-39
194,30.0,1.0,3.0,7.0,5.0,1.0,2.0,2.5,187.96,82.55381134000001,190.5,14.0,24.0,18.0,11.33980925,34.01942775,6.0,84.8,24.947580350000003,22.6796185,118.84120094,101.2,23.4,0.16958635552682888,1.4120879120879122,1.1373626373626373,30-39
195,33.0,1.0,0.0,9.0,7.0,1.0,2.0,2.5,181.61,70.30681735,182.88,15.0,25.0,42.0,24.04039561,36.74098197,98.0,88.0,23.042492396,23.042492396,136.53130337000002,123.0,21.3,0.21335057630794604,1.5225806451612902,1.3419354838709678,30-39
196,39.0,1.0,5.0,9.0,8.0,3.0,2.0,1.6666666666666667,182.88,78.01788764,185.42000000000002,15.0,31.0,44.0,29.937096420000003,38.10175908,110.0,133.8,22.679618499999997,23.223929344000005,117.02683146000001,223.4,23.3,0.1922636007426258,1.4883720930232558,1.3837209302325582,30-39
197,31.0,1.0,0.0,11.0,6.0,3.0,1.0,2.0833333333333335,182.88,85.72895793,187.96,9.0,21.0,49.0,28.12272694,24.947580350000003,147.0,97.0,24.04039561,24.04039561,99.33672903,387.0,25.6,0.10498202961184645,1.2910052910052912,1.3280423280423281,30-39
198,30.0,1.0,0.0,13.0,7.0,3.0,4.0,6.666666666666667,190.5,85.72895793,198.12,17.0,31.0,36.0,32.20505827,27.2155422,120.0,115.0,24.131114084,24.131114084,115.21246198000001,210.4,23.6,0.19829938926682109,1.3174603174603174,1.3756613756613756,30-39
199,39.0,1.0,0.0,5.0,7.0,3.0,2.0,1.75,193.04,97.52235955,190.5,8.0,25.0,18.0,4.535923700000001,15.875732950000002,30.0,99.0,13.154178730000002,13.154178730000002,61.325688424000006,160.6,26.2,0.082032469650187,1.1627906976744187,1.0465116279069768,30-39
200,27.0,1.0,5.0,7.0,3.0,1.0,3.0,1.6666666666666667,175.26,74.84274105,190.5,19.0,54.0,43.0,31.751465900000003,40.8233133,125.0,82.6,22.951773922000005,22.498181552000002,88.45051215,125.2,24.4,0.2538656352431924,1.5454545454545454,1.4242424242424243,20-29
201,41.0,1.0,1.0,4.0,7.0,3.0,3.0,3.3333333333333335,187.96,90.26488163,180.34,7.0,14.0,26.0,15.875732950000002,20.41165665,62.0,80.0,20.41165665,18.143694800000002,89.35769689,113.0,25.5,0.07754953946201723,1.2261306532663316,1.1758793969849246,40-49
