,age,sex,max_boulder_numeric,max_sport_numeric,exp,trainexp,season,days,height,weight,span,pullup,pushup,continuous,maxhang,weightedpull,repeaters1,longcamp,ohpr,ohll,dl,shortcamp,bmi_score,strength_to_weight_pullup,strength_to_weight_weightpull,strength_to_weight_maxhang
382,31.0,2.0,7.0,15.0,6.0,3.0,1.0,4.166666666666667,170.18,56.69904625,163.83,9.0,18.0,35.0,13.6077711,27.2155422,83.0,67.0,18.143694800000002,16.964354638000003,90.718474,68.0,19.6,0.15873282877311184,1.48,1.24
383,29.0,1.0,8.0,11.0,6.0,3.0,2.0,8.333333333333334,177.8,70.30681735,177.8,28.0,35.0,45.0,24.947580350000003,52.163122550000004,70.0,56.2,23.042492396,22.588900025999997,116.30108366800002,64.4,22.2,0.39825440910816595,1.741935483870968,1.3548387096774193
384,27.0,1.0,6.0,11.0,3.0,1.0,2.0,4.166666666666667,177.8,66.67807839000001,172.72,20.0,26.0,57.0,45.81282937,41.276905670000005,126.0,74.2,22.679618500000004,22.679618500000004,145.693869244,130.0,21.1,0.299948656033847,1.619047619047619,1.6870748299319727
385,24.0,1.0,9.0,0.0,4.0,2.0,2.0,2.0833333333333335,182.88,74.38914868,190.5,23.0,35.0,65.0,54.4310844,49.895160700000005,140.0,99.6,25.401172719999998,24.493987980000004,132.17681661800003,114.8,22.2,0.30918487989342586,1.670731707317073,1.7317073170731707
386,26.0,1.0,7.0,13.0,6.0,3.0,4.0,10.833333333333334,175.895,72.665497674,176.53,15.0,30.0,46.0,31.751465900000003,40.8233133,116.0,94.2,19.50447191,19.50447191,103.69121578200001,136.0,23.5,0.20642533912441724,1.5617977528089888,1.4369538077403246
387,34.0,1.0,6.0,15.0,6.0,3.0,3.0,6.25,170.18,64.86370891,172.72,16.0,34.0,55.0,40.8233133,36.287389600000004,180.0,147.6,22.22602613,22.679618500000004,118.84120094,296.4,22.4,0.2466710625844784,1.5594405594405594,1.6293706293706296
388,25.0,1.0,7.0,13.0,5.0,1.0,3.0,8.333333333333334,180.34,73.48196394,186.69,14.0,31.0,47.0,20.41165665,31.751465900000003,89.0,42.0,20.41165665,22.6796185,106.59420695,79.0,22.6,0.19052294262890654,1.4320987654320987,1.2777777777777777
389,33.0,1.0,10.0,17.0,7.0,3.0,4.0,8.333333333333334,181.61,79.37866475,191.77,19.0,33.0,67.0,49.895160700000005,52.163122550000004,224.0,99.0,29.48350405,29.48350405,170.09713875,272.0,24.1,0.23935902751500995,1.6571428571428573,1.6285714285714286
390,48.0,1.0,7.0,11.0,7.0,4.0,4.0,3.75,177.8,67.13167076,177.8,15.0,38.0,44.0,24.04039561,28.12272694,158.0,121.8,26.761949830000002,23.133210870000003,125.19149411999999,201.4,21.2,0.22344148194413266,1.4189189189189189,1.3581081081081081
391,37.0,1.0,10.0,15.0,8.0,5.0,4.0,7.5,167.64000000000001,58.9670081,179.07,26.0,42.0,78.0,35.38020486,43.09127515,205.0,159.6,27.306260673999997,25.85476509,143.516625868,319.6,21.0,0.44092452436975516,1.7307692307692308,1.6
392,34.0,1.0,10.0,17.0,7.0,2.0,4.0,9.166666666666666,170.18,67.13167076,185.42000000000002,12.0,22.0,33.0,15.875732950000002,32.20505827,115.0,90.0,23.405366292,22.951773922000005,129.72741782,143.0,23.2,0.17875318555530614,1.4797297297297298,1.2364864864864864
393,32.0,1.0,8.0,13.0,7.0,5.0,3.0,7.5,184.15,88.90410452,189.23,14.0,22.0,55.0,29.48350405,38.55535145,190.0,0.0,27.2155422,23.813599425,133.80974915000002,380.0,12.8,0.1574730444177697,1.433673469387755,1.3316326530612244
394,59.0,2.0,1.0,7.0,7.0,1.0,1.0,1.6666666666666667,165.1,67.13167076,165.1,0.0,11.0,10.0,0.0,0.0,24.0,58.0,11.33980925,6.80388555,102.05828325,88.0,24.6,0.0,1.0,1.0
395,42.0,1.0,6.0,11.0,7.0,4.0,3.0,0.8333333333333334,180.34,87.08973504000001,187.96,15.0,25.0,120.0,33.11224301,34.926612490000004,120.0,107.8,16.782917689999998,16.782917689999998,101.60469087999999,203.2,26.8,0.1722361423319356,1.4010416666666667,1.3802083333333333
396,32.0,1.0,4.0,5.0,4.0,1.0,2.0,1.25,182.88,74.84274105,185.42000000000002,20.0,70.0,30.0,22.6796185,34.01942775,150.0,103.4,25.40117272,24.947580350000003,122.92353227000001,166.4,22.4,0.26722698446651827,1.4545454545454546,1.303030303030303
397,41.0,1.0,6.0,11.0,7.0,7.0,2.0,4.166666666666667,185.42000000000002,82.55381134000001,184.15,14.0,30.0,37.0,30.390688790000002,45.359237,107.0,87.0,29.48350405,29.48350405,151.95344395,96.0,24.0,0.16958635552682888,1.5494505494505495,1.3681318681318682
398,29.0,2.0,8.0,13.0,4.0,1.0,3.0,4.166666666666667,170.18,52.163122550000004,168.91,14.0,14.0,62.0,24.04039561,17.23651006,266.0,123.0,13.6077711,11.33980925,97.06876718000001,363.0,18.0,0.2683888409207205,1.3304347826086955,1.4608695652173913
399,34.0,1.0,4.0,9.0,6.0,2.0,3.0,5.833333333333333,187.96,81.6466266,185.42000000000002,14.0,30.0,35.0,27.2155422,36.287389600000004,87.0,101.0,24.49398798,24.49398798,136.077711,162.8,23.1,0.1714706483660159,1.4444444444444444,1.3333333333333333
400,28.0,1.0,9.0,0.0,4.0,1.0,4.0,5.0,193.04,89.81128926000001,205.74,13.0,21.0,16.0,11.33980925,36.287389600000004,44.0,63.6,17.690102430000003,17.23651006,101.60469087999999,80.2,24.1,0.14474794991936404,1.404040404040404,1.1262626262626263
401,41.0,1.0,8.0,13.0,8.0,3.0,4.0,6.666666666666667,181.0004,71.13689138710001,184.9882,12.0,25.0,47.0,23.9995722967,43.99845989,94.0,115.2,22.135307656,22.135307656000002,106.503488476,183.2,21.7,0.16868884436769307,1.618504112733533,1.3373716763374353
402,36.0,1.0,1.0,3.0,6.0,1.0,3.0,1.6666666666666667,180.34,81.6466266,180.34,11.0,31.0,21.0,11.33980925,29.02991168,72.0,92.8,22.316744604,21.863152234,106.59420695000001,153.4,25.1,0.13472693800186963,1.3555555555555554,1.1388888888888888
403,36.0,1.0,8.0,0.0,8.0,3.0,2.0,5.0,170.18,68.0388555,167.64000000000001,21.0,34.0,58.0,39.46253619,49.895160700000005,105.0,133.0,19.776627331999997,19.413753436,114.668151136,175.4,23.5,0.3086471670588286,1.7333333333333334,1.5799999999999998
404,39.0,2.0,5.0,5.0,7.0,3.0,4.0,3.3333333333333335,170.18,65.77089365,162.56,11.0,13.0,50.0,29.48350405,29.48350405,126.0,121.6,15.875732950000002,15.875732950000002,81.6466266,201.4,22.7,0.16724723338163125,1.4482758620689653,1.4482758620689653
405,26.0,1.0,6.0,9.0,3.0,2.0,4.0,4.166666666666667,187.96,81.6466266,187.96,20.0,40.0,56.0,40.8233133,56.69904625,103.0,80.0,29.48350405,29.48350405,193.23034962000003,82.0,23.1,0.24495806909430842,1.6944444444444444,1.5
406,24.0,2.0,4.0,0.0,3.0,1.0,4.0,1.6666666666666667,158.75,53.97749203,158.75,7.0,20.0,25.0,11.33980925,9.071847400000001,56.0,62.4,13.607771099999999,13.8436391324,92.89571737600002,135.2,21.4,0.1296836836381633,1.1680672268907564,1.2100840336134453
407,38.0,1.0,6.0,11.0,7.0,3.0,2.0,4.166666666666667,175.26,74.84274105,176.53,15.0,40.0,53.0,31.751465900000003,24.947580350000003,143.0,126.8,27.2155422,24.947580350000003,113.3980925,204.6,24.4,0.2004202383498887,1.3333333333333335,1.4242424242424243
408,35.0,1.0,6.0,0.0,7.0,2.0,1.0,1.25,144.78,65.77089365,149.86,13.0,56.0,43.0,25.401172719999998,27.2155422,96.0,80.0,23.586803240000002,23.586803240000002,110.13222743600002,162.0,31.4,0.1976558212692006,1.4137931034482758,1.424637210255907
409,28.0,1.0,7.0,0.0,3.0,2.0,1.0,0.8333333333333334,182.88,81.6466266,182.88,14.0,26.0,30.0,27.2155422,51.70953018,70.0,47.0,20.41165665,20.41165665,113.3980925,56.0,24.4,0.1714706483660159,1.633333333333333,1.3333333333333333
410,30.0,1.0,13.0,0.0,7.0,7.0,4.0,6.25,175.26,62.59574706,185.42000000000002,19.0,19.0,35.0,31.751465900000003,38.55535145,176.0,76.0,0.0,0.0,0.0,105.0,20.4,0.3035349986603387,1.615942028985507,1.5072463768115942
411,51.0,1.0,1.0,9.0,7.0,2.0,4.0,2.3333333333333335,181.61,74.84274105,185.42000000000002,14.0,32.0,62.0,40.8233133,34.01942775,140.0,66.0,22.6796185,20.41165665,120.20197805000001,78.0,22.7,0.1870588891265628,1.4545454545454546,1.5454545454545454
412,31.0,1.0,7.0,9.0,4.0,2.0,4.0,1.5833333333333335,182.88,80.28584949,185.42000000000002,16.0,39.0,55.0,29.937096420000003,59.874192840000006,140.0,65.0,25.129017298,23.949677136000002,125.64508649,110.0,24.0,0.19928792061909836,1.7457627118644068,1.3728813559322035
413,30.0,1.0,10.0,0.0,7.0,5.0,4.0,4.166666666666667,170.18,63.502931800000006,175.26,21.0,26.0,63.0,38.55535145,40.8233133,115.0,68.6,22.22602613,21.137404441999998,128.27592223599999,96.8,21.9,0.33069339327731634,1.6428571428571428,1.6071428571428572
414,27.0,2.0,4.0,4.0,3.0,1.0,3.0,1.25,162.56,51.255937810000006,164.465,10.0,24.0,45.0,18.143694800000002,16.329325320000002,110.0,73.6,15.240703632,14.787111262000002,87.99691978,99.0,19.4,0.19509934706626333,1.3185840707964602,1.3539823008849559
415,31.0,1.0,4.0,11.0,6.0,4.0,4.0,4.583333333333333,182.88,79.37866475,187.96,16.0,27.0,45.0,24.947580350000003,43.09127515,115.0,119.8,21.953870708,21.953870708,126.55227123,203.6,23.7,0.20156549685474523,1.542857142857143,1.3142857142857143
416,22.0,1.0,11.0,13.0,7.0,4.0,4.0,4.166666666666667,185.42000000000002,79.37866475,185.42000000000002,25.0,35.0,60.0,56.69904625,79.37866475,136.4,103.8,22.6796185,22.6796185,165.56121505000002,161.6,23.1,0.31494608883553943,2.0,1.7142857142857142
417,43.0,1.0,4.0,11.0,7.0,4.0,2.0,3.75,182.88,79.83225712000001,182.88,25.0,23.0,26.0,18.143694800000002,31.751465900000003,65.0,50.0,23.949677136000002,22.588900025999997,101.15109851,75.0,23.9,0.31315662242170106,1.3977272727272727,1.2272727272727273
418,26.0,1.0,6.0,9.0,2.0,1.0,4.0,6.666666666666667,172.72,65.77089365,185.42000000000002,20.0,36.0,36.0,24.04039561,31.751465900000003,90.0,66.2,22.6796185,22.6796185,142.88159655,99.6,22.0,0.3040858788756932,1.482758620689655,1.3655172413793104
419,30.0,2.0,7.0,9.0,5.0,5.0,2.0,3.3333333333333335,167.64000000000001,64.41011654,162.56,11.2,20.0,52.0,36.287389600000004,22.6796185,123.0,80.2,14.514955839999999,14.06136347,95.2543977,100.0,22.9,0.1804472695649723,1.352112676056338,1.5633802816901408
420,47.0,1.0,7.0,7.0,7.0,6.0,2.0,2.0833333333333335,175.26,76.65711053,180.34,18.0,41.0,62.0,40.8233133,40.8233133,163.0,121.0,24.584706454000003,24.584706454000003,141.06722707,213.4,25.0,0.23481187688330157,1.532544378698225,1.532544378698225
421,28.0,2.0,8.0,0.0,4.0,3.0,2.0,2.9166666666666665,160.02,58.9670081,162.56,14.0,20.0,43.2,36.287389600000004,34.01942775,106.0,60.8,14.514955840000002,14.06136347,97.52235955,86.2,23.0,0.23742089773756048,1.5769230769230769,1.6153846153846154
422,27.0,1.0,7.0,9.0,3.0,2.0,4.0,3.75,187.96,83.91458845000001,187.96,21.0,40.0,61.0,49.895160700000005,56.24545388,85.0,85.0,31.751465900000003,31.751465900000003,197.31268095000001,95.0,23.8,0.25025445977742855,1.67027027027027,1.5945945945945945
423,29.0,1.0,5.0,5.0,4.0,2.0,3.0,1.6666666666666667,152.4,78.92507238,180.34,12.0,36.0,24.0,19.958064280000002,40.36972093,64.0,50.0,12.24699399,12.24699399,81.6466266,70.0,34.0,0.1520429394378466,1.511494252873563,1.2528735632183907
424,38.0,1.0,7.0,11.0,6.0,5.0,1.0,5.0,175.26,74.84274105,182.88,14.0,31.0,52.0,45.359237,47.62719885,120.0,70.0,29.48350405,29.48350405,142.42800418000002,165.0,24.4,0.1870588891265628,1.6363636363636362,1.6060606060606062
425,41.0,1.0,5.0,9.0,7.0,2.0,4.0,4.166666666666667,173.99,67.13167076,177.165,14.0,29.0,38.0,18.143694800000002,36.287389600000004,95.0,111.0,20.683812072000002,20.230219702000003,94.80080533,170.0,22.2,0.20854538314785714,1.5405405405405403,1.2702702702702704
426,31.0,1.0,9.0,0.0,7.0,5.0,1.0,2.0833333333333335,177.8,77.1107029,177.8,15.0,35.0,60.0,59.874192840000006,48.08079122,150.0,122.8,20.41165665,20.41165665,124.73790175,184.8,24.4,0.1945255254572449,1.6235294117647059,1.776470588235294
427,50.0,1.0,4.0,11.0,4.0,2.0,1.0,2.5,170.18,64.86370891,172.72,20.0,36.0,58.0,29.02991168,44.905644630000005,125.0,123.0,22.22602613,21.863152234,105.23342984000001,158.2,22.4,0.308338828230598,1.6923076923076923,1.4475524475524475
428,32.0,1.0,1.0,5.0,4.0,1.0,2.0,2.5,193.04,89.81128926000001,186.63920000000002,2.0,15.0,3.0,1.3607771100000001,6.80388555,37.0,30.0,24.947580350000003,24.947580350000003,136.077711,46.0,24.1,0.022268915372209853,1.0757575757575757,1.0151515151515151
429,29.0,1.0,5.0,9.0,4.0,3.0,3.0,3.3333333333333335,172.72,63.502931800000006,172.72,17.0,33.0,45.0,24.947580350000003,36.74098197,85.0,69.4,21.137404442,21.137404442,113.760966396,122.8,21.3,0.2677041755102085,1.5785714285714285,1.3928571428571428
430,50.0,1.0,4.0,11.0,4.0,2.0,1.0,2.5,170.18,64.86370891,172.72,20.0,36.0,58.0,29.02991168,44.905644630000005,125.0,75.0,21.318841390000006,20.41165665,127.00586360000003,72.0,22.4,0.308338828230598,1.6923076923076923,1.4475524475524475
431,33.0,1.0,8.0,0.0,4.0,3.0,4.0,2.0833333333333335,185.42000000000002,72.57477920000001,187.96,8.0,13.0,42.0,38.55535145,22.6796185,60.0,56.0,22.6796185,18.143694800000002,106.59420695,59.0,21.1,0.11023113109243877,1.3125,1.53125
432,43.0,1.0,3.0,9.0,7.0,3.0,3.0,5.0,187.96,89.35769689,182.88,9.0,20.0,38.0,24.947580350000003,24.947580350000003,74.0,75.0,22.498181552000002,21.318841390000003,95.2543977,75.0,25.3,0.10071879998293899,1.2791878172588833,1.2791878172588833
433,42.0,1.0,8.0,0.0,7.0,7.0,4.0,20.833333333333332,177.8,88.45051215000001,182.88,10.0,10.0,35.0,36.287389600000004,24.947580350000003,37.0,75.0,24.04039561,24.04039561,142.88159655,90.0,28.0,0.11305757035121926,1.2820512820512822,1.4102564102564104
434,39.0,1.0,6.0,11.0,7.0,4.0,2.0,4.166666666666667,175.26,74.38914868,176.53,15.0,41.0,53.0,31.751465900000003,29.48350405,154.0,120.6,24.49398798,24.49398798,115.393898928,179.8,24.2,0.2016423129739734,1.396341463414634,1.4268292682926829
435,35.0,2.0,4.0,0.0,5.0,4.0,2.0,0.25,162.56,62.59574706,167.64000000000001,8.0,16.0,55.0,19.958064280000002,18.143694800000002,55.0,62.0,18.143694800000002,13.6077711,102.05828325,114.0,23.7,0.12780420996224787,1.289855072463768,1.318840579710145
436,42.0,2.0,9.0,0.0,7.0,4.0,2.0,8.333333333333334,157.48,53.07030729,157.48,18.0,35.0,60.0,30.84428116,29.48350405,160.0,85.0,13.6077711,13.6077711,102.05828325,121.0,21.4,0.3391727110536578,1.5555555555555556,1.5811965811965811
